system,algo,graph,real,user,sys,metric_source,log
graphit,bfs_parent,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/bfs_parent/web-google.txt
graphit,bfs_parent,web-hudong,1.05,3.12,0.26,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/bfs_parent/web-hudong.txt
graphit,cc,ER-AvgDeg10-1M-L2,0.29,1.05,0.14,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/cc/ER-AvgDeg10-1M-L2.txt
graphit,cc,road-belgium-osm,0.09,0.3,0.02,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/cc/road-belgium-osm.txt
graphit,cc,rt-retweet-crawl,0.14,0.43,0.1,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/cc/rt-retweet-crawl.txt
graphit,cc,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/cc/web-google.txt
graphit,cc,web-hudong,1.14,3.33,0.29,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/cc/web-hudong.txt
graphit,kcore,ER-AvgDeg10-1M-L2,0.32,1.09,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/kcore/ER-AvgDeg10-1M-L2.txt
graphit,kcore,road-belgium-osm,0.11,0.31,0.1,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/kcore/road-belgium-osm.txt
graphit,kcore,rt-retweet-crawl,0.2,0.56,0.27,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/kcore/rt-retweet-crawl.txt
graphit,kcore,web-google,0.0,0.0,0.02,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/kcore/web-google.txt
graphit,kcore,web-hudong,1.23,3.78,0.64,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/kcore/web-hudong.txt
graphit,pagerank,ER-AvgDeg10-1M-L2,0.36,2.26,0.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/pagerank/ER-AvgDeg10-1M-L2.txt
graphit,pagerank,road-belgium-osm,0.19,1.75,0.1,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/pagerank/road-belgium-osm.txt
graphit,pagerank,rt-retweet-crawl,0.21,1.45,0.13,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/pagerank/rt-retweet-crawl.txt
graphit,pagerank,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/pagerank/web-google.txt
graphit,pagerank,web-hudong,1.47,6.85,0.25,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/pagerank/web-hudong.txt
graphit,sssp,ER-AvgDeg10-1M-L2,0.37,1.19,0.13,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/sssp/ER-AvgDeg10-1M-L2.txt
graphit,sssp,road-belgium-osm,0.13,0.3,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/sssp/road-belgium-osm.txt
graphit,sssp,rt-retweet-crawl,0.18,0.52,0.09,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/sssp/rt-retweet-crawl.txt
graphit,sssp,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/sssp/web-google.txt
graphit,sssp,web-hudong,1.53,4.38,0.42,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/sssp/web-hudong.txt
